"Column0","Column1","Column2","Column3","Column4"
"eval_loss:9,00596809387207","eval_runtime:13,6898","eval_samples_per_second:0,292","eval_steps_per_second:0,073","epoch:0"
"loss:9,3042","grad_norm:179,9862060546875","learning_rate:7,942857142857144e-06","epoch:0,2",
"loss:0,0426","grad_norm:0,33387577533721924","learning_rate:7,885714285714286e-06","epoch:0,4",
"loss:10,5473","grad_norm:120,52377319335938","learning_rate:7,828571428571428e-06","epoch:0,6",
"loss:8,4635","grad_norm:221,5316162109375","learning_rate:7,771428571428572e-06","epoch:0,8",
"loss:5,8793","grad_norm:102,20674133300781","learning_rate:7,714285714285714e-06","epoch:1,0",
"eval_loss:4,043612957000732","eval_runtime:14,1514","eval_samples_per_second:0,283","eval_steps_per_second:0,071","epoch:1,0"
"loss:4,0327","grad_norm:30,6306095123291","learning_rate:7,657142857142858e-06","epoch:1,2",
"loss:4,2254","grad_norm:81,8570327758789","learning_rate:7,599999999999999e-06","epoch:1,4",
"loss:0,0387","grad_norm:2,034256935119629","learning_rate:7,542857142857142e-06","epoch:1,6",
"loss:3,9847","grad_norm:165,63870239257812","learning_rate:7,485714285714285e-06","epoch:1,8",
"loss:2,9899","grad_norm:42,36885070800781","learning_rate:7,428571428571428e-06","epoch:2,0",
"eval_loss:3,252950668334961","eval_runtime:14,3525","eval_samples_per_second:0,279","eval_steps_per_second:0,07","epoch:2,0"
"loss:3,1494","grad_norm:44,43999481201172","learning_rate:7,3714285714285706e-06","epoch:2,2",
"loss:0,0248","grad_norm:0,22892330586910248","learning_rate:7,314285714285714e-06","epoch:2,4",
"loss:2,8338","grad_norm:25,437559127807617","learning_rate:7,257142857142857e-06","epoch:2,6",
"loss:2,566","grad_norm:33,94755172729492","learning_rate:7,2e-06","epoch:2,8",
"loss:2,12","grad_norm:14,720014572143555","learning_rate:7,142857142857143e-06","epoch:3,0",
"eval_loss:2,853794574737549","eval_runtime:13,4207","eval_samples_per_second:0,298","eval_steps_per_second:0,075","epoch:3,0"
"loss:2,5984","grad_norm:102,15633392333984","learning_rate:7,085714285714285e-06","epoch:3,2",
"loss:2,6402","grad_norm:102,77044677734375","learning_rate:7,028571428571428e-06","epoch:3,4",
"loss:1,8325","grad_norm:32,68758010864258","learning_rate:6,971428571428571e-06","epoch:3,6",
"loss:1,8459","grad_norm:17,950767517089844","learning_rate:6,914285714285714e-06","epoch:3,8",
"loss:0,0161","grad_norm:0,21384067833423615","learning_rate:6,857142857142856e-06","epoch:4,0",
"eval_loss:1,6334644556045532","eval_runtime:13,6279","eval_samples_per_second:0,294","eval_steps_per_second:0,073","epoch:4,0"
"loss:1,8129","grad_norm:34,098636627197266","learning_rate:6,799999999999999e-06","epoch:4,2",
"loss:1,4887","grad_norm:18,60338020324707","learning_rate:6,742857142857142e-06","epoch:4,4",
"loss:0,0141","grad_norm:0,2815348505973816","learning_rate:6,685714285714285e-06","epoch:4,6",
"loss:1,5594","grad_norm:12,882430076599121","learning_rate:6,628571428571428e-06","epoch:4,8",
"loss:1,4129","grad_norm:15,626216888427734","learning_rate:6,571428571428571e-06","epoch:5,0",
"eval_loss:1,3566175699234009","eval_runtime:13,4574","eval_samples_per_second:0,297","eval_steps_per_second:0,074","epoch:5,0"
"loss:1,4283","grad_norm:5,059537887573242","learning_rate:6,514285714285714e-06","epoch:5,2",
"loss:1,3488","grad_norm:4,9154133796691895","learning_rate:6,457142857142857e-06","epoch:5,4",
"loss:1,2399","grad_norm:12,163095474243164","learning_rate:6,4e-06","epoch:5,6",
"loss:1,2805","grad_norm:11,507120132446289","learning_rate:6,342857142857142e-06","epoch:5,8",
"loss:0,0077","grad_norm:0,15755166113376617","learning_rate:6,285714285714285e-06","epoch:6,0",
"eval_loss:1,2210513353347778","eval_runtime:13,5618","eval_samples_per_second:0,295","eval_steps_per_second:0,074","epoch:6,0"
"loss:1,2219","grad_norm:3,652172803878784","learning_rate:6,228571428571428e-06","epoch:6,2",
"loss:0,0067","grad_norm:0,15637734532356262","learning_rate:6,171428571428571e-06","epoch:6,4",
"loss:1,0861","grad_norm:5,243264198303223","learning_rate:6,114285714285713e-06","epoch:6,6",
"loss:1,2081","grad_norm:2,8645083904266357","learning_rate:6,057142857142856e-06","epoch:6,8",
"loss:1,043","grad_norm:3,087637424468994","learning_rate:6e-06","epoch:7,0",
"eval_loss:1,1229093074798584","eval_runtime:13,4348","eval_samples_per_second:0,298","eval_steps_per_second:0,074","epoch:7,0"
"loss:1,1554","grad_norm:3,964775800704956","learning_rate:5,942857142857143e-06","epoch:7,2",
"loss:0,9957","grad_norm:5,062464237213135","learning_rate:5,885714285714286e-06","epoch:7,4",
"loss:0,0039","grad_norm:0,09842240065336227","learning_rate:5,8285714285714284e-06","epoch:7,6",
"loss:1,0093","grad_norm:8,631338119506836","learning_rate:5,7714285714285715e-06","epoch:7,8",
"loss:1,0856","grad_norm:5,671998977661133","learning_rate:5,7142857142857145e-06","epoch:8,0",
"eval_loss:1,0864722728729248","eval_runtime:13,4652","eval_samples_per_second:0,297","eval_steps_per_second:0,074","epoch:8,0"
"loss:0,0109","grad_norm:1,8448989391326904","learning_rate:5,6571428571428576e-06","epoch:8,2",
"loss:1,0225","grad_norm:7,581185817718506","learning_rate:5,6e-06","epoch:8,4",
"loss:1,0611","grad_norm:5,7824625968933105","learning_rate:5,542857142857143e-06","epoch:8,6",
"loss:1,0262","grad_norm:4,3227128982543945","learning_rate:5,485714285714286e-06","epoch:8,8",
"loss:0,9081","grad_norm:6,929669380187988","learning_rate:5,428571428571429e-06","epoch:9,0",
"eval_loss:1,0784622430801392","eval_runtime:13,4821","eval_samples_per_second:0,297","eval_steps_per_second:0,074","epoch:9,0"
"loss:0,9855","grad_norm:4,763340473175049","learning_rate:5,371428571428571e-06","epoch:9,2",
"loss:0,8641","grad_norm:4,407108783721924","learning_rate:5,314285714285714e-06","epoch:9,4",
"loss:0,0042","grad_norm:0,11171116679906845","learning_rate:5,257142857142857e-06","epoch:9,6",
"loss:0,9813","grad_norm:4,535516262054443","learning_rate:5,2e-06","epoch:9,8",
"loss:0,8534","grad_norm:4,111835479736328","learning_rate:5,142857142857143e-06","epoch:10,0",
"eval_loss:1,0316193103790283","eval_runtime:13,421","eval_samples_per_second:0,298","eval_steps_per_second:0,075","epoch:10,0"
"loss:0,0043","grad_norm:0,15765053033828735","learning_rate:5,0857142857142854e-06","epoch:10,2",
"loss:0,8191","grad_norm:3,1128392219543457","learning_rate:5,0285714285714285e-06","epoch:10,4",
"loss:0,7999","grad_norm:3,3771257400512695","learning_rate:4,9714285714285715e-06","epoch:10,6",
"loss:0,877","grad_norm:3,8842806816101074","learning_rate:4,9142857142857145e-06","epoch:10,8",
"loss:0,8623","grad_norm:3,905109405517578","learning_rate:4,857142857142857e-06","epoch:11,0",
"eval_loss:1,002875804901123","eval_runtime:13,518","eval_samples_per_second:0,296","eval_steps_per_second:0,074","epoch:11,0"
"loss:0,8362","grad_norm:4,393497467041016","learning_rate:4,8e-06","epoch:11,2",
"loss:0,7566","grad_norm:4,345818042755127","learning_rate:4,742857142857143e-06","epoch:11,4",
"loss:0,7397","grad_norm:4,584664821624756","learning_rate:4,685714285714286e-06","epoch:11,6",
"loss:0,003","grad_norm:0,08157564699649811","learning_rate:4,628571428571429e-06","epoch:11,8",
"loss:0,8045","grad_norm:4,550145626068115","learning_rate:4,571428571428571e-06","epoch:12,0",
"eval_loss:0,9939583539962769","eval_runtime:13,0115","eval_samples_per_second:0,307","eval_steps_per_second:0,077","epoch:12,0"
"loss:0,698","grad_norm:3,9763381481170654","learning_rate:4,514285714285714e-06","epoch:12,2",
"loss:0,7004","grad_norm:3,1887259483337402","learning_rate:4,457142857142857e-06","epoch:12,4",
"loss:0,0036","grad_norm:0,10132820904254913","learning_rate:4,4e-06","epoch:12,6",
"loss:0,7138","grad_norm:4,6564106941223145","learning_rate:4,342857142857142e-06","epoch:12,8",
"loss:0,7252","grad_norm:4,4246368408203125","learning_rate:4,2857142857142855e-06","epoch:13,0",
"eval_loss:0,9943445920944214","eval_runtime:13,0456","eval_samples_per_second:0,307","eval_steps_per_second:0,077","epoch:13,0"
"loss:0,6496","grad_norm:3,4802684783935547","learning_rate:4,2285714285714285e-06","epoch:13,2",
"loss:0,683","grad_norm:3,783202886581421","learning_rate:4,1714285714285715e-06","epoch:13,4",
"loss:0,0029","grad_norm:0,0987447053194046","learning_rate:4,114285714285714e-06","epoch:13,6",
"loss:0,6336","grad_norm:4,317723751068115","learning_rate:4,057142857142857e-06","epoch:13,8",
"loss:0,6309","grad_norm:4,842681407928467","learning_rate:4e-06","epoch:14,0",
"eval_loss:0,9852964878082275","eval_runtime:13,0878","eval_samples_per_second:0,306","eval_steps_per_second:0,076","epoch:14,0"
"loss:0,0033","grad_norm:0,09531541168689728","learning_rate:3,942857142857143e-06","epoch:14,2",
"loss:0,5837","grad_norm:3,8342032432556152","learning_rate:3,885714285714286e-06","epoch:14,4",
"loss:0,5736","grad_norm:3,8146262168884277","learning_rate:3,828571428571429e-06","epoch:14,6",
"loss:0,5945","grad_norm:4,648705005645752","learning_rate:3,771428571428571e-06","epoch:14,8",
"loss:0,5646","grad_norm:3,9641945362091064","learning_rate:3,714285714285714e-06","epoch:15,0",
"eval_loss:1,009256362915039","eval_runtime:12,9446","eval_samples_per_second:0,309","eval_steps_per_second:0,077","epoch:15,0"
"loss:0,5452","grad_norm:4,4826788902282715","learning_rate:3,657142857142857e-06","epoch:15,2",
"loss:0,546","grad_norm:3,8183653354644775","learning_rate:3,6e-06","epoch:15,4",
"loss:0,5533","grad_norm:6,426957130432129","learning_rate:3,5428571428571425e-06","epoch:15,6",
